Radius,Mass,Period,SemiMajorAxis,EqTemp,Density,StarTemp,StarLum,StarMet,Insolation,Target_Habitable,Habitability_Score,Log_Period,Star_Type_G,Star_Type_K,Star_Type_M,Star_Type_Other
5.7,174.48779544,8.138268,0.115,850.0,1.527272,5428.0,-0.13966,0.0,62.3,0,0.0503906276572395,2.212470870791563,True,False,False,False
1.047,174.48779544,6.7987,0.0349,912.0,1.527272,3648.0,-0.10297,-0.048,62.3,0,0.3562154138610196,2.053957053138447,False,False,False,True
1.87,174.48779544,28.1656,0.115,912.0,1.527272,5550.0,-0.10297,0.02,62.3,0,0.17783679774677555,3.3729899325981365,False,False,False,True
1.5,174.48779544,0.72091,0.115,912.0,1.527272,5633.0,-0.10297,-0.053,62.3,0,0.2403631679017737,0.5428532206847394,False,False,False,True
0.692,174.48779544,2.13174,0.115,912.0,1.527272,5550.0,-0.10297,0.02,62.3,0,0.2831580540005855,1.1415887606341686,False,False,False,True
1.565,7.67,0.87724,0.0177,2038.0,11.1,5679.0,-0.04915,0.01,2852.0,0,0.19021886706920854,0.6298026130426639,False,False,False,True
1.22,174.48779544,3.80464,0.115,912.0,1.527272,5550.0,-0.10297,0.02,62.3,0,0.30569254731838874,1.5695821176591704,False,False,False,True
1.03,174.48779544,2.71578,0.115,912.0,1.527272,5550.0,-0.10297,0.02,62.3,0,0.3616681258470653,1.3125886157544349,False,False,False,True
0.90819,174.48779544,2.0478,0.0296,912.0,1.527272,4520.0,-0.36351,-0.003,62.3,0,0.3422791033269108,1.1144200188736233,False,False,False,True
1.0,174.48779544,3.96151,0.115,912.0,1.527272,5550.0,-0.10297,0.02,62.3,0,0.3715196146642292,1.6017101298896281,False,False,False,True
1.04,174.48779544,4.1698,0.035,912.0,1.527272,5053.0,-0.10297,0.0,62.3,0,0.35844942771500365,1.642834003052529,False,False,False,True
1.31,174.48779544,8.050722,0.115,960.6,1.527272,5502.7,-0.10297,0.02,62.3,0,0.27673903648407244,2.202844533535184,False,False,False,True
1.7,174.48779544,4.50756,0.115,912.0,1.527272,5550.0,-0.10297,0.02,62.3,0,0.20371471592803245,1.7061216938701533,False,False,False,True
1.4,174.48779544,0.911724,0.115,912.0,1.527272,5724.0,-0.10297,-0.22,62.3,0,0.261626296676109,0.648005452745099,False,False,False,True
2.6,174.48779544,14.647531,0.115,912.0,1.527272,5724.0,-0.10297,-0.22,62.3,0,0.10548512066244771,2.750313140961905,False,False,False,True
1.01,174.48779544,2.87814,0.115,912.0,1.527272,5550.0,-0.10297,0.02,62.3,0,0.3682028925806186,1.3553556572518641,False,False,False,True
1.7,174.48779544,5.2986,0.115,912.0,1.527272,4114.0,-0.10297,0.006,62.3,0,0.20371471592803245,1.8403273864802483,False,False,False,True
1.2,174.48779544,0.354884,0.115,912.0,1.527272,4114.0,-0.10297,0.006,62.3,0,0.3110965323568899,0.30371584181092837,False,False,False,True
1.0,174.48779544,2.255436,0.115,912.0,1.527272,3297.0,-0.10297,-0.33,62.3,0,0.3715196146642292,1.180326214462988,False,False,False,True
0.96,174.48779544,1.58252,0.115,912.0,1.527272,5550.0,-0.10297,0.02,62.3,0,0.35844942771500365,0.9487656664153569,False,False,False,True
2.094,174.48779544,17.515472,0.115,912.0,1.527272,4752.0,-0.10297,0.019,62.3,0,0.149811052624606,2.918606706884279,False,False,False,True
1.92,174.48779544,21.1701963,0.1195,431.0,1.527272,4057.0,-0.10297,0.2,62.3,0,0.3357197901779198,3.098748877896644,False,False,False,True
5.76,174.48779544,19.49221,0.1493,817.0,1.527272,6069.0,-0.10297,0.1,62.3,0,0.055963726712237795,3.0200448139260665,False,False,False,True
1.48,174.48779544,2.289363,0.115,1149.0,1.527272,5171.0,-0.10297,-0.03,62.3,0,0.2230305953314009,1.1906939290098086,False,False,False,True
2.27,174.48779544,5.213965,0.115,866.0,1.527272,5171.0,-0.10297,-0.03,62.3,0,0.1384101108037541,1.8267991785121225,False,False,False,True
2.17,174.48779544,18.0983,0.115,912.0,1.527272,5550.0,-0.10297,0.02,62.3,0,0.1416419284193909,2.949599325855781,False,False,False,True
1.6,174.48779544,34.885,0.115,912.0,1.527272,5550.0,-0.10297,0.02,62.3,0,0.22112349336223805,3.580319380882035,False,False,False,True
